0,0,0
1,16.274,31
2,9.78,10
3,4.601,1
4,11.771,18
5,12.474,20
6,13.256,23
7,9.452,8
8,12.739,21
9,9.776,9
10,20.514,39
11,15.013,29
12,11.51,17
13,12.083,19
14,6.62,5
15,24.49,44
16,11.19,15
17,10.085,11
18,22.567,42
19,20.593,40
20,15.091,30
21,16.687,33
22,18.802,37
23,12.86,22
24,9.447,7
25,11.069,14
26,8.964,6
27,6.562,4
28,14.381,27
29,17.658,35
30,14.695,28
31,5.245,2
32,16.556,32
33,11.489,16
34,10.982,13
35,13.522,24
36,18.739,36
37,14.083,25
38,6.104,3
39,17.261,34
40,19.774,38
41,21.467,41
42,10.466,12
43,22.623,43
44,14.132,26